palette_index,rom_offset,values
0,994,"[0, 0, 0, 0, 0, 63, 43, 15, 11, 3, 27, 6, 48, 4, 12, 42]"
1,995,"[0, 0, 0, 0, 63, 43, 15, 11, 3, 27, 6, 48, 4, 12, 42, 22]"
2,996,"[0, 0, 0, 63, 43, 15, 11, 3, 27, 6, 48, 4, 12, 42, 22, 1]"
3,997,"[0, 0, 63, 43, 15, 11, 3, 27, 6, 48, 4, 12, 42, 22, 1, 19]"
4,998,"[0, 63, 43, 15, 11, 3, 27, 6, 48, 4, 12, 42, 22, 1, 19, 21]"
5,999,"[63, 43, 15, 11, 3, 27, 6, 48, 4, 12, 42, 22, 1, 19, 21, 0]"
6,1000,"[43, 15, 11, 3, 27, 6, 48, 4, 12, 42, 22, 1, 19, 21, 0, 63]"
7,1001,"[15, 11, 3, 27, 6, 48, 4, 12, 42, 22, 1, 19, 21, 0, 63, 43]"
8,1002,"[11, 3, 27, 6, 48, 4, 12, 42, 22, 1, 19, 21, 0, 63, 43, 15]"
9,1003,"[3, 27, 6, 48, 4, 12, 42, 22, 1, 19, 21, 0, 63, 43, 15, 11]"
